interval,ageinterval,survival_year,numalivebint,numdeadint
1,0-1,1,"100,000",2593
2,1-5,5,"97,407",409
3,5-10,5,"96,998",233
4,10-15,5,"96,765",214
5,15-20,5,"96,551",440
6,20-25,5,"96,111",594
7,25-30,5,"95,517",612
8,30-35,5,"94,905",761
9,35-40,5,"94,144",1080
10,40-45,5,"93,064",1686
11,45-50,5,"91,378",2622
12,50-55,5,"88,756",4045
13,55-60,5,"84,711",5644
14,60-65,5,"79,067",7920
15,65-70,5,"71,147",10290
16,70-75,5,"60,857",12687
17,75-80,5,"48,170",14594
18,80-85,5,"33,576",15034
19,85ovr,5,"18,542",18542
